id,date_mastodon,cve_ids
114347718598280298,2025-04-16T12:48:37.000Z,CVE-2025-30960
114347245354298197,2025-04-16T10:48:16.000Z,CVE-2024-52281
114347245315827031,2025-04-16T10:48:15.000Z,CVE-2024-22036
114345994061707803,2025-04-16T05:30:03.000Z,CVE-2025-12345
114345831118837353,2025-04-16T04:48:36.000Z,CVE-2025-3495
114345358095163611,2025-04-16T02:48:18.000Z,CVE-2025-30215
114344888130922164,2025-04-16T00:48:47.000Z,CVE-2025-30967
114344888082817969,2025-04-16T00:48:47.000Z,CVE-2025-30510
114344888042356761,2025-04-16T00:48:46.000Z,CVE-2025-26927
114344888018478730,2025-04-16T00:48:46.000Z,CVE-2025-26748
114344887981940394,2025-04-16T00:48:45.000Z,CVE-2025-24297
114344415743970234,2025-04-15T22:48:24.000Z,CVE-2025-2567
114344415732343011,2025-04-15T22:48:25.000Z,CVE-2025-30206
114344415709925470,2025-04-15T22:48:27.000Z,CVE-2025-30727
114344415706289792,2025-04-15T22:48:27.000Z,CVE-2025-30735
114344415686225797,2025-04-15T22:48:26.000Z,CVE-2025-30511
114344415668407708,2025-04-15T22:48:24.000Z,CVE-2025-25456
114344415666584080,2025-04-15T22:48:25.000Z,CVE-2025-32438
114344415666481532,2025-04-15T22:48:26.000Z,CVE-2025-32445
114344415665217660,2025-04-15T22:48:26.000Z,CVE-2025-30712
114343941906459249,2025-04-15T20:48:06.000Z,CVE-2025-28137
114343234898375567,2025-04-15T17:48:21.000Z,CVE-2025-32911
114343055353217091,2025-04-15T17:02:42.397Z,CVE-2024-50302
114343000363529885,2025-04-15T16:48:36.000Z,CVE-2025-29281
114342528384904232,2025-04-15T14:48:37.000Z,CVE-2025-30985
114342528138781742,2025-04-15T14:48:37.000Z,CVE-2025-26959
114342528097801385,2025-04-15T14:48:36.000Z,CVE-2025-26741
114339696313797532,2025-04-15T02:48:27.000Z,CVE-2025-31491
114339696276376630,2025-04-15T02:48:26.000Z,CVE-2025-24797
114338279910234780,2025-04-14T20:48:13.000Z,CVE-2025-1782
114337809940072744,2025-04-14T18:48:38.000Z,CVE-2025-32931
114337336683835560,2025-04-14T16:48:21.000Z,CVE-2025-2160
114337336643115819,2025-04-14T16:48:21.000Z,CVE-2025-2563
114336086089079918,2025-04-14T11:30:19.868Z,CVE-2019-0708
114334505181727672,2025-04-14T04:48:16.000Z,CVE-2025-3546
114334505151348329,2025-04-14T04:48:16.000Z,CVE-2025-3545
114334034491549890,2025-04-14T02:48:34.000Z,CVE-2025-3544
114334034445183760,2025-04-14T02:48:33.000Z,CVE-2025-3543
114334034419092779,2025-04-14T02:48:33.000Z,CVE-2025-3542
