CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112557301996974599,2024-06-04T08:02:08.000Z
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112557299508021846,2024-06-04T08:01:30.000Z
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112556698627226215,2024-06-04T05:28:41.000Z
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112557301996974599,2024-06-04T08:02:08.000Z
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112557299508021846,2024-06-04T08:01:30.000Z
CVE-2017-3506,PUBLISHED,oracle,2017-04-24T19:00:00,2024-08-05T14:30:57.671Z,,,CWE-78,,,WebLogic Server,Unknown,Oracle,112556698627226215,2024-06-04T05:28:41.000Z
CVE-2017-6884,PUBLISHED,mitre,2017-04-06T17:00:00.000Z,2025-02-04T15:24:25.023Z,,,CWE-78,webapps,hardware,EMG2926 Routers,Known,Zyxel,111103849351351881,2023-09-21T15:30:01.286Z
CVE-2017-7494,PUBLISHED,redhat,2017-05-30T18:00:00.000Z,2025-02-07T13:29:38.079Z,,,CWE-94,remote,linux,Samba,Known,Samba,100163115784665252,2018-06-07T10:37:35.000Z
CVE-2017-7494,PUBLISHED,redhat,2017-05-30T18:00:00.000Z,2025-02-07T13:29:38.079Z,,,CWE-94,remote,linux,Samba,Known,Samba,100163115784665252,2018-06-07T10:37:35.000Z
CVE-2017-8291,PUBLISHED,mitre,2017-04-27T01:41:00.000Z,2025-02-04T20:44:54.709Z,,,CWE-704,local,linux,Ghostscript,Unknown,Artifex,109863096275406412,2023-02-14T12:30:11.829Z
