Disclosure Date,CVE_ID
2017-11-12,cve-2017-16995
2021-05-11,CVE-2021-3490
2021-05-11,cve-2020-8835
2021-05-11,cve-2021-3490
2021-04-12,CVE-2021-3493
2021-09-14,CVE-2021-38648
2021-09-14,cve-2021-38647
2022-01-25,CVE-2021-4034
2022-01-25,cve-2021-4034
2022-02-20,CVE-2022-0847
2022-03-14,CVE-2022-0995
2022-03-14,cve-2022-0995
2022-03-22,CVE-2022-1043
2022-03-22,cve-2022-1043
2023-03-22,CVE-2023-0386
2023-03-22,cve-2023-0386
2022-02-04,CVE-2022-0492
2022-02-04,cve-2022-0492
2019-01-01,CVE-2019-5736
2019-01-01,cve-2018-5736
2019-01-01,cve-2019-5736
2019-06-05,CVE-2019-10149
2022-11-16,cve-2022-41622
2022-11-16,cve-2022-41800
2023-07-26,CVE-2021-3493
2023-07-26,CVE-2023-2640
2023-07-26,CVE-2023-32629
2010-10-18,CVE-2010-3847
2010-10-18,CVE-2010-3856
2010-10-18,CVE-2010-3847
2018-01-16,cve-2018-1000001
2023-10-03,CVE-2023-4911
2023-10-03,cve-2023-4911
2014-11-19,CVE-2014-2630
2014-11-19,cve-2014-2630
2011-08-13,CVE-2011-2921
2018-11-15,CVE-2018-18955
2018-11-15,cve-2018-18955
2022-02-07,CVE-2022-34918
