CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2025-1316,Edimax,IC-7100 IP Camera,Unknown,CWE-78
CVE-2025-30066,tj-actions,changed-files GitHub Action,Unknown,CWE-506
CVE-2025-24472,Fortinet,FortiOS and FortiProxy,Known,CWE-288
CVE-2025-21590,Juniper,Junos OS,Unknown,CWE-653
CVE-2025-24201,Apple,Multiple Products,Unknown,CWE-787
CVE-2025-24993,Microsoft,Windows,Unknown,CWE-122
CVE-2025-24991,Microsoft,Windows,Unknown,CWE-125
CVE-2025-24985,Microsoft,Windows,Unknown,"CWE-190, CWE-122"
CVE-2025-24984,Microsoft,Windows,Unknown,CWE-532
CVE-2025-24983,Microsoft,Windows,Unknown,CWE-416
CVE-2025-26633,Microsoft,Windows,Known,CWE-707
CVE-2024-13161,Ivanti,Endpoint Manager (EPM),Unknown,CWE-36
CVE-2024-13160,Ivanti,Endpoint Manager (EPM),Unknown,CWE-36
CVE-2024-13159,Ivanti,Endpoint Manager (EPM),Unknown,CWE-36
CVE-2024-57968,Advantive,VeraCore,Unknown,CWE-434
CVE-2025-25181,Advantive,VeraCore,Unknown,CWE-89
CVE-2025-22226,VMware,"ESXi, Workstation, and Fusion",Unknown,CWE-125
CVE-2025-22225,VMware,ESXi,Unknown,CWE-123
CVE-2025-22224,VMware,ESXi and Workstation,Unknown,CWE-367
CVE-2024-50302,Linux,Kernel,Unknown,CWE-908
CVE-2024-4885,Progress,WhatsUp Gold,Unknown,CWE-22
CVE-2018-8639,Microsoft,Windows,Known,CWE-404
CVE-2022-43769,Hitachi Vantara,Pentaho Business Analytics (BA) Server,Unknown,CWE-74
CVE-2022-43939,Hitachi Vantara,Pentaho Business Analytics (BA) Server,Unknown,CWE-647
CVE-2023-20118,Cisco,Small Business RV Series Routers,Unknown,CWE-77
CVE-2023-34192,Synacor,Zimbra Collaboration Suite (ZCS),Unknown,CWE-79
CVE-2024-49035,Microsoft,Partner Center,Unknown,CWE-269
CVE-2024-20953,Oracle,Agile Product Lifecycle Management (PLM),Unknown,CWE-502
CVE-2017-3066,Adobe,ColdFusion,Unknown,CWE-502
CVE-2025-24989,Microsoft,Power Pages,Unknown,CWE-284
CVE-2025-0111,Palo Alto Networks,PAN-OS,Unknown,CWE-73
CVE-2025-23209,Craft CMS,Craft CMS,Unknown,CWE-94
CVE-2025-0108,Palo Alto Networks,PAN-OS,Unknown,CWE-306
CVE-2024-53704,SonicWall,SonicOS,Unknown,CWE-287
CVE-2024-57727,SimpleHelp ,SimpleHelp,Known,CWE-22
CVE-2025-24200,Apple,iOS and iPadOS,Unknown,CWE-863
CVE-2024-41710,Mitel,SIP Phones,Unknown,CWE-88
CVE-2024-40891,Zyxel,DSL CPE Devices,Unknown,CWE-78
CVE-2024-40890,Zyxel,DSL CPE Devices,Unknown,CWE-78
CVE-2025-21418,Microsoft,Windows,Unknown,CWE-122
CVE-2025-21391,Microsoft,Windows,Unknown,CWE-59
CVE-2025-0994,Trimble,Cityworks,Unknown,CWE-502
CVE-2020-15069,Sophos,XG Firewall,Unknown,CWE-120
CVE-2020-29574,Sophos,CyberoamOS,Unknown,CWE-89
CVE-2024-21413,Microsoft,Office Outlook,Unknown,CWE-20
CVE-2022-23748,Audinate,Dante Discovery,Unknown,CWE-114
CVE-2025-0411,7-Zip,7-Zip,Unknown,CWE-693
CVE-2024-53104,Linux,Kernel,Unknown,CWE-787
CVE-2018-19410,Paessler,PRTG Network Monitor,Unknown,
CVE-2018-9276,Paessler,PRTG Network Monitor,Unknown,CWE-78
CVE-2024-29059,Microsoft,.NET Framework,Unknown,CWE-209
CVE-2024-45195,Apache,OFBiz,Unknown,CWE-425
CVE-2025-24085,Apple,Multiple Products,Unknown,CWE-416
CVE-2025-23006,SonicWall,SMA1000 Appliances,Known,CWE-502
CVE-2020-11023,JQuery,JQuery,Unknown,CWE-79
CVE-2024-50603,Aviatrix,Controllers,Unknown,CWE-78
CVE-2025-21335,Microsoft,Windows,Unknown,CWE-416
CVE-2025-21334,Microsoft,Windows,Unknown,CWE-416
CVE-2025-21333,Microsoft,Windows,Unknown,CWE-122
CVE-2024-55591,Fortinet,FortiOS and FortiProxy,Known,CWE-288
CVE-2023-48365,Qlik,Sense,Known,CWE-444
CVE-2024-12686,BeyondTrust,Privileged Remote Access (PRA) and Remote Support (RS),Unknown,CWE-78
CVE-2025-0282,Ivanti,"Connect Secure, Policy Secure, and ZTA Gateways",Known,CWE-121
CVE-2020-2883,Oracle,WebLogic Server,Unknown,
CVE-2024-55550,Mitel,MiCollab,Known,CWE-22
CVE-2024-41713,Mitel,MiCollab,Known,CWE-22
CVE-2024-3393,Palo Alto Networks,PAN-OS,Unknown,CWE-754
CVE-2021-44207,Acclaim Systems,USAHERDS,Unknown,CWE-798
CVE-2024-12356,BeyondTrust,Privileged Remote Access (PRA) and Remote Support (RS) ,Unknown,CWE-77
CVE-2021-40407,Reolink,RLC-410W IP Camera,Unknown,CWE-78
CVE-2019-11001,Reolink,Multiple IP Cameras,Unknown,CWE-78
CVE-2022-23227,NUUO,NVRmini2 Devices,Unknown,CWE-306
CVE-2018-14933,NUUO,NVRmini Devices,Unknown,CWE-78
CVE-2024-55956,Cleo,Multiple Products,Known,CWE-276
CVE-2024-35250,Microsoft,Windows,Unknown,CWE-822
CVE-2024-20767,Adobe,ColdFusion,Unknown,CWE-284
CVE-2024-50623,Cleo,Multiple Products,Known,CWE-434
CVE-2024-49138,Microsoft,Windows,Unknown,CWE-122
CVE-2024-51378,CyberPersons,CyberPanel,Known,CWE-276
CVE-2024-11667,Zyxel,Multiple Firewalls,Known,CWE-22
CVE-2024-11680,ProjectSend,ProjectSend,Unknown,CWE-287
CVE-2023-45727,North Grid,Proself,Unknown,CWE-611
CVE-2023-28461,Array Networks ,AG/vxAG ArrayOS,Known,CWE-306
CVE-2024-21287,Oracle,Agile Product Lifecycle Management (PLM),Unknown,CWE-863
CVE-2024-44309,Apple,Multiple Products,Unknown,CWE-79
CVE-2024-44308,Apple,Multiple Products,Unknown,
CVE-2024-38813,VMware,vCenter Server,Unknown,"CWE-250, CWE-273"
CVE-2024-38812,VMware,vCenter Server,Unknown,CWE-122
CVE-2024-9474,Palo Alto Networks,PAN-OS,Unknown,CWE-77
CVE-2024-0012,Palo Alto Networks,PAN-OS,Known,CWE-306
CVE-2024-1212,Progress,Kemp LoadMaster,Unknown,CWE-78
CVE-2024-9465,Palo Alto Networks,Expedition,Unknown,CWE-89
CVE-2024-9463,Palo Alto Networks,Expedition,Unknown,CWE-78
CVE-2021-26086,Atlassian,Jira Server and Data Center,Unknown,CWE-22
CVE-2014-2120,Cisco,Adaptive Security Appliance (ASA),Unknown,CWE-79
CVE-2021-41277,Metabase,Metabase,Unknown,CWE-200
