Affected Vendor(s),CVE_ID,CVSS v3.0
Apple,CVE-2011-0233,7.5
Oracle,CVE-2011-2261,7.5
CA,CVE-2011-2667,10.0
EMC,CVE-2011-1741,10.0
Trend Micro,,10.0
Trend Micro,,9.0
Symantec,CVE-2011-0549,7.5
Hewlett-Packard,CVE-2011-1867,10.0
Apple,CVE-2010-3790,7.5
Apple,CVE-2011-0211,7.5
Apple,CVE-2011-0209,7.5
Apple,CVE-2011-0200,7.5
Novell,CVE-2011-2220,9.7
Citrix,,10.0
Mozilla,CVE-2011-0085,7.5
Mozilla,CVE-2011-2363,7.5
Mozilla,CVE-2011-0083,7.5
Adobe,CVE-2011-2113,7.5
Adobe,CVE-2011-2114,7.5
Adobe,CVE-2011-0335,7.5
Adobe,CVE-2011-2094,9.0
Adobe,CVE-2011-2095,9.0
Adobe,CVE-2011-2109,7.5
Adobe,CVE-2011-0335,7.5
Adobe,CVE-2011-2112,7.5
Adobe,CVE-2011-2112,7.5
Adobe,CVE-2011-2114,7.5
Adobe,CVE-2011-2111,7.5
Adobe,CVE-2011-2113,7.5
Adobe,CVE-2011-2112,7.5
Adobe,CVE-2011-0335,7.5
Adobe,CVE-2011-2109,7.5
Adobe,CVE-2011-2118,7.5
Adobe,CVE-2011-2111,7.5
Adobe,CVE-2011-0335,7.5
Adobe,CVE-2011-2112,9.0
Adobe,CVE-2011-2112,7.5
Adobe,CVE-2011-2119,7.5
Adobe,CVE-2011-2120,7.5
Adobe,CVE-2011-2121,7.5
